mode,arm,mcast_pin,n_groups,group_size,pods_spanned,hosts_per_pod,collective,baseline_algo,msg_bytes,makespan_ns,drop_log_hits,status,pfc_high,pfc_low,intranode_q,pauses_sent,resumes_sent,peak_ingress_bytes,peak_ingress_frac,peak_ingress_queue,peak_egress_bytes,peak_egress_frac,peak_egress_queue,nic_honor,nic_pauses_seen,nic_grants_declined,nic_redrives_held,su_topo,so_topo,nodes,gpus_per_node,intranode_linkspeed_mbps,engine,log_file,trace_file,command
census,inc,,,64,,,bcast,ring,67108864,136823,0,ok,218,174,17152,0,0,158080,0.1418,VQ-SRC0->LS0(0),4160,0.0001,LS0->DST1(0),1,0,0,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_xbar_bcast_ring_inc_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_bcast_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 218 -lossless_low_pfc 174 -intranode_q 17152 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_bcast_67108864.groups
census,base,,,64,,,bcast,ring,67108864,258059,0,ok,218,174,17152,0,0,158720,0.1424,VQ-SRC2->LS0(0),8448,0.0001,LS0->DST1(0),1,0,0,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_xbar_bcast_ring_base_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_bcast_ring_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 218 -lossless_low_pfc 174 -intranode_q 17152 -mtu 4160
census,inc,,,64,,,reduce,ring,67108864,136823,0,ok,218,174,17152,0,0,4160,0.0037,VQ-SRC0->LS0(0),4160,0.0001,LS0->DST0(0),1,0,0,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_xbar_reduce_ring_inc_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_reduce_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 218 -lossless_low_pfc 174 -intranode_q 17152 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_reduce_67108864.groups
census,base,,,64,,,reduce,ring,67108864,258059,0,ok,218,174,17152,0,0,158720,0.1424,VQ-SRC61->LS0(0),8448,0.0001,LS0->DST62(0),1,0,0,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_xbar_reduce_ring_base_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_reduce_ring_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 218 -lossless_low_pfc 174 -intranode_q 17152 -mtu 4160
census,inc,,,64,,,allreduce,ring,67108864,138256,0,ok,389,311,7024,0,0,158080,0.0866,VQ-CS0->US0(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allreduce_ring_inc_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_allreduce_67108864.bin -nodes 64 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_allreduce_67108864.groups
census,base,,,64,,,allreduce,ring,67108864,729277,0,ok,389,311,7024,0,0,158720,0.0869,VQ-SRC20->LS5(0),8384,0.0003,LS15->DST61(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allreduce_ring_base_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_allreduce_ring_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160
census,inc,,,64,,,allreduce,rdouble,67108864,138256,0,ok,389,311,7024,0,0,158080,0.0866,VQ-CS0->US0(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allreduce_rdouble_inc_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_allreduce_67108864.bin -nodes 64 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_allreduce_67108864.groups
census,base,,,64,,,allreduce,rdouble,67108864,458975,0,ok,389,311,7024,58,58,1676480,0.918,VQ-LS4->US4(0),5743360,0.1966,US0->CS0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allreduce_rdouble_base_67108864.log.gz,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/traces/census_3tier_allreduce_rdouble_base_67108864.csv,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_allreduce_rdouble_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -pfc_trace /workspace/simulation-scripts/results/scaleup_pfc_concurrent/traces/census_3tier_allreduce_rdouble_base_67108864.csv
census,inc,,,64,,,allreduce_rs_ag,ring,67108864,272849,0,ok,389,311,7024,240,240,1676480,0.918,VQ-CS0->US0(0),1618240,0.0554,US12->LS_15(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allreduce_rs_ag_ring_inc_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_allreduce_rs_ag_67108864.bin -nodes 64 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_allreduce_rs_ag_67108864.groups
census,base,,,64,,,allreduce_rs_ag,ring,67108864,729277,0,ok,389,311,7024,0,0,158720,0.0869,VQ-SRC20->LS5(0),8384,0.0003,LS15->DST61(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allreduce_rs_ag_ring_base_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_allreduce_rs_ag_ring_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160
census,inc,,,64,,,reduce_scatter,ring,67108864,138256,0,ok,389,311,7024,0,0,158080,0.0866,VQ-CS0->US0(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_reduce_scatter_ring_inc_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_reduce_scatter_67108864.bin -nodes 64 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_reduce_scatter_67108864.groups
census,base,,,64,,,reduce_scatter,ring,67108864,364552,0,ok,389,311,7024,0,0,158720,0.0869,VQ-SRC20->LS5(0),8384,0.0003,LS15->DST61(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_reduce_scatter_ring_base_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_reduce_scatter_ring_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160
census,inc,,,64,,,allgather,ring,67108864,134693,0,ok,389,311,7024,240,240,1676480,0.918,VQ-CS0->US4(0),1618240,0.0554,US0->LS_0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allgather_ring_inc_67108864.log.gz,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/traces/census_3tier_allgather_ring_inc_67108864.csv,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_allgather_67108864.bin -nodes 64 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_allgather_67108864.groups -pfc_trace /workspace/simulation-scripts/results/scaleup_pfc_concurrent/traces/census_3tier_allgather_ring_inc_67108864.csv
census,base,,,64,,,allgather,ring,67108864,364552,0,ok,389,311,7024,0,0,158720,0.0869,VQ-SRC20->LS5(0),8384,0.0003,LS15->DST61(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_allgather_ring_base_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_allgather_ring_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160
census,inc,,,64,,,bcast,ring,67108864,138256,0,ok,389,311,7024,0,0,158080,0.0866,VQ-SRC0->LS0(0),4160,0.0001,LS0->DST1(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_bcast_ring_inc_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/inc_bcast_67108864.bin -nodes 64 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/inc_bcast_67108864.groups
census,base,,,64,,,bcast,ring,67108864,283425,0,ok,389,311,7024,0,0,158592,0.0868,VQ-SRC61->LS15(0),8448,0.0003,LS0->DST1(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,64,64,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/census_3tier_bcast_ring_base_67108864.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/base_bcast_ring_67108864.bin -nodes 64 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160
